COLLISION_ID,CRASH_DATETIME,YEAR,MONTH,HOUR,DAY_OF_WEEK,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_YEAR,DRIVER_SEX,POINT_OF_IMPACT,TRAVEL_DIRECTION
4489720,2021-12-23 16:25:00,2021,12,16,Thursday,Brooklyn,11233,40.682278,-73.9226,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper,Passing Or Lane Usage Improper,Sedan,Chev -Car/Suv,2016,M,Left Front Bumper,North
4512305,2022-03-17 20:51:00,2022,3,20,Thursday,Queens,11385,40.702,-73.88009,2,0,2,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Hond -Car/Suv,2018,Unknown,Left Front Bumper,South
4490369,2021-12-23 08:49:00,2021,12,8,Thursday,Unknown,0,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Pick-Up Truck,Kenwo,2009,M,Left Rear Bumper,Southeast
4490655,2021-12-20 06:38:00,2021,12,6,Monday,Manhattan,10029,40.793766,-73.93411,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unknown,Unknown,0,Unknown,Right Front Bumper,Northeast
4464388,2021-09-29 12:42:00,2021,9,12,Wednesday,Brooklyn,11208,40.67732,-73.87871,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Convertible,Ford -Car/Suv,2013,M,Center Back End,North
4490489,2021-12-29 12:21:00,2021,12,12,Wednesday,Brooklyn,11204,40.620815,-73.98986,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,Box Truck,Frht-Truck/Bus,2020,M,Left Rear Quarter Panel,West
4491703,2022-01-03 09:30:00,2022,1,9,Monday,Queens,11356,40.780144,-73.84876,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper,Unspecified,Sedan,Unknown,2015,Unknown,Left Front Quarter Panel,West
4566573,2022-09-21 14:42:00,2022,9,14,Wednesday,Unknown,0,,,0,0,0,0,0,0,0,0,Reaction To Uninvolved Vehicle,Unspecified,Unknown,Unknown,0,Unknown,Unknown,Unknown
4598543,2023-01-07 17:28:00,2023,1,17,Saturday,Bronx,10463,40.879818,-73.90415,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Bike,Unknown,0,Unknown,Center Front End,North
4518174,2022-03-28 19:00:00,2022,3,19,Monday,Brooklyn,11231,40.678936,-74.001915,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Hond -Car/Suv,2020,Unknown,Right Front Quarter Panel,Unknown
4496515,2022-01-10 16:43:00,2022,1,16,Monday,Manhattan,10029,40.792984,-73.94007,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Ford -Car/Suv,2016,Unknown,Right Rear Quarter Panel,East
4466616,2021-10-12 16:30:00,2021,10,16,Tuesday,Queens,11378,40.732018,-73.91904,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Sedan,Kia -Car/Suv,2021,M,Center Back End,South
4518679,2022-04-07 09:51:00,2022,4,9,Thursday,Bronx,10466,40.887688,-73.85225,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unknown,Morgan Olson,2016,F,Left Rear Bumper,West
4496997,2022-01-23 21:50:00,2022,1,21,Sunday,Brooklyn,11218,40.637863,-73.96568,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Toyt -Car/Suv,2012,M,Center Front End,North
4497402,2022-01-25 13:31:00,2022,1,13,Tuesday,Unknown,0,40.80897,-73.94833,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Sedan,Unknown,2019,F,Center Back End,East
4499289,2022-02-02 03:06:00,2022,2,3,Wednesday,Unknown,0,40.820137,-73.89029,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Toyt -Car/Suv,2009,F,Center Front End,East
4545393,2022-07-10 18:37:00,2022,7,18,Sunday,Bronx,10469,40.876377,-73.84601,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Bus,Unknown,2022,M,Right Front Quarter Panel,South
4502531,2022-02-11 13:45:00,2022,2,13,Friday,Unknown,0,40.82214,-73.930824,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Sedan,Toyt -Car/Suv,2018,F,Center Back End,North
4484063,2021-12-06 14:45:00,2021,12,14,Monday,Brooklyn,11203,40.654278,-73.92292,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Infi -Car/Suv,2006,M,Left Side Doors,East
4485115,2021-12-09 12:00:00,2021,12,12,Thursday,Unknown,0,40.737682,-73.85206,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Box Truck,Intl-Truck/Bus,2021,M,Trailer,West
4507459,2022-03-04 06:30:00,2022,3,6,Friday,Unknown,0,40.69821,-73.92406,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Station Wagon/Sport Utility Vehicle,Niss -Car/Suv,2017,Unknown,Left Front Bumper,Northwest
4523879,2022-05-01 18:00:00,2022,5,18,Sunday,Unknown,0,40.636837,-74.156944,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Sedan,Toyt -Car/Suv,2008,M,Center Back End,West
4523906,2022-05-01 23:40:00,2022,5,23,Sunday,Unknown,0,40.790894,-73.945175,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,Taxi,Niss -Car/Suv,2015,M,Right Front Quarter Panel,North
4524004,2022-05-02 07:00:00,2022,5,7,Monday,Unknown,0,40.81286,-73.96341,0,0,0,0,0,0,0,0,Turning Improperly,Unsafe Speed,Sedan,Toyt -Car/Suv,2012,M,Left Side Doors,East
4509669,2022-03-10 17:35:00,2022,3,17,Thursday,Brooklyn,11216,40.6752,-73.950005,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,Sedan,Hyun -Car/Suv,2012,Unknown,Center Back End,West
4510292,2022-03-14 17:14:00,2022,3,17,Monday,Bronx,10460,40.84539,-73.88108,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Station Wagon/Sport Utility Vehicle,Niss -Car/Suv,2016,F,Right Front Bumper,West
4510628,2022-03-15 18:20:00,2022,3,18,Tuesday,Brooklyn,11222,40.725277,-73.94621,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unknown,Unknown,0,Unknown,Right Front Quarter Panel,Northeast
4513206,2022-03-23 12:42:00,2022,3,12,Wednesday,Brooklyn,11207,40.680035,-73.9055,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Van,Unknown,2005,M,Right Front Bumper,East
